TopicNO	BPREF
1	0.6219512195121951
2	0.4269230769230769
3	0.6458333333333334
4	0.7922077922077922
5	0.3609022556390977
6	0.2833333333333333
7	0.5980392156862745
8	0.6243654822335025
9	0.5454545454545454
10	0.6896551724137931
11	0.3
12	0.22900763358778625
13	0.21428571428571427
14	0.3248407643312102
15	0.46236559139784944
16	0.17142857142857143
17	0.696969696969697
18	0.5487804878048781
19	0.5052631578947369
20	0.3333333333333333
21	0.34502923976608185
22	0.47058823529411764
23	0.3464566929133858
24	0.7444444444444445
25	0.08823529411764706
26	0.9420289855072463
27	0.45154185022026433
28	0.7884615384615384
29	0.788235294117647
30	0.48314606741573035
