TopicNO	BPREF
1	0.2682926829268293
2	0.03461538461538462
3	0.2708333333333333
4	0.0
5	0.03007518796992481
6	0.3888888888888889
7	0.3235294117647059
8	0.13705583756345177
9	0.18181818181818182
10	0.0
11	0.11
12	0.022900763358778626
13	0.026785714285714284
14	0.0
15	0.11827956989247312
16	0.0
17	0.09090909090909091
18	0.0
19	0.6210526315789474
20	0.4444444444444444
21	0.13450292397660818
22	0.6078431372549019
23	0.09448818897637795
24	0.022222222222222223
25	0.0
26	0.028985507246376812
27	0.473568281938326
28	0.38461538461538464
29	0.03529411764705882
30	0.0
