TopicNO	BPREF
1	0.524390243902439
2	0.3153846153846154
3	0.5833333333333334
4	0.6883116883116883
5	0.2706766917293233
6	0.18333333333333332
7	0.5196078431372549
8	0.48223350253807107
9	0.18181818181818182
10	0.5517241379310345
11	0.22
12	0.10687022900763359
13	0.1875
14	0.1592356687898089
15	0.3870967741935484
16	0.17142857142857143
17	0.6363636363636364
18	0.3780487804878049
19	0.42105263157894735
20	0.2708333333333333
21	0.14619883040935672
22	0.3137254901960784
23	0.23622047244094488
24	0.6444444444444445
25	0.0
26	0.927536231884058
27	0.35462555066079293
28	0.6346153846153846
29	0.7411764705882353
30	0.29213483146067415
