TopicNO	BPREF
1	0.36585365853658536
2	0.18846153846153846
3	0.375
4	0.45454545454545453
5	0.16541353383458646
6	0.1
7	0.4215686274509804
8	0.27918781725888325
9	0.09090909090909091
10	0.4482758620689655
11	0.04
12	0.04580152671755725
13	0.07142857142857142
14	0.06369426751592357
15	0.24731182795698925
16	0.05714285714285714
17	0.5151515151515151
18	0.14634146341463414
19	0.30526315789473685
20	0.11805555555555555
21	0.06432748538011696
22	0.13725490196078433
23	0.11811023622047244
24	0.23333333333333334
25	0.0
26	0.5507246376811594
27	0.21145374449339208
28	0.34615384615384615
29	0.5529411764705883
30	0.1348314606741573
