TopicNO	BPREF
1	0.14634146341463414
2	0.08846153846153847
3	0.22916666666666666
4	0.2857142857142857
5	0.10526315789473684
6	0.03333333333333333
7	0.058823529411764705
8	0.16243654822335024
9	0.0
10	0.10344827586206896
11	0.02
12	0.022900763358778626
13	0.017857142857142856
14	0.025477707006369428
15	0.010752688172043012
16	0.05714285714285714
17	0.015151515151515152
18	0.012195121951219513
19	0.042105263157894736
20	0.006944444444444444
21	0.011695906432748537
22	0.0196078431372549
23	0.08661417322834646
24	0.0
25	0.0
26	0.07246376811594203
27	0.006607929515418502
28	0.07692307692307693
29	0.10588235294117647
30	0.06741573033707865
