TopicNO	BPREF
1	0.6097560975609756
2	0.49230769230769234
3	0.5
4	0.7792207792207793
5	0.42105263157894735
6	0.4388888888888889
7	0.9313725490196079
8	0.6040609137055838
9	0.9090909090909091
10	1.0
11	0.34
12	0.32061068702290074
13	0.30357142857142855
14	0.28662420382165604
15	0.9032258064516129
16	0.22857142857142856
17	0.8181818181818182
18	0.5609756097560976
19	0.7052631578947368
20	0.5972222222222222
21	0.4678362573099415
22	0.6666666666666666
23	0.30708661417322836
24	0.8555555555555555
25	0.11764705882352941
26	0.9710144927536232
27	0.8215859030837004
28	0.8653846153846154
29	0.8
30	0.4157303370786517
