TopicNO	BPREF
1	0.08536585365853659
2	0.06923076923076923
3	0.20833333333333334
4	0.24675324675324675
5	0.09022556390977443
6	0.022222222222222223
7	0.0196078431372549
8	0.14213197969543148
9	0.0
10	0.0
11	0.02
12	0.015267175572519083
13	0.008928571428571428
14	0.025477707006369428
15	0.010752688172043012
16	0.05714285714285714
17	0.0
18	0.0
19	0.0
20	0.006944444444444444
21	0.011695906432748537
22	0.0196078431372549
23	0.07086614173228346
24	0.0
25	0.0
26	0.014492753623188406
27	0.0022026431718061676
28	0.038461538461538464
29	0.07058823529411765
30	0.06741573033707865
