TopicNO	BPREF
1	0.5121951219512195
2	0.3153846153846154
3	0.5625
4	0.7272727272727273
5	0.2781954887218045
6	0.2388888888888889
7	0.7647058823529411
8	0.47715736040609136
9	0.2727272727272727
10	0.7931034482758621
11	0.22
12	0.15267175572519084
13	0.20535714285714285
14	0.16560509554140126
15	0.7956989247311828
16	0.14285714285714285
17	0.8181818181818182
18	0.3780487804878049
19	0.6105263157894737
20	0.3611111111111111
21	0.16374269005847952
22	0.4117647058823529
23	0.23622047244094488
24	0.7333333333333333
25	0.0
26	0.9420289855072463
27	0.5881057268722467
28	0.6346153846153846
29	0.8
30	0.2808988764044944
